id;descricao;observacao;data;numero
1;arrogantly deactivate misfile;towards;2023-11-25;7940
2;seemingly substantial;greatness nervously;2023-11-25;2728
3;as anti yahoo;oof collectivise;2023-11-24;20695
4;needle safeguard;rudely below wildly;2023-11-25;23913
5;defect;gymnast custody expression;2023-11-25;27536
6;embellished illiterate;before off;2023-11-25;21648
7;tolerance;tame;2023-11-25;12713
8;joyously apud by;rescue mastermind;2023-11-25;18544
9;incidentally;reimburse atop rope;2023-11-24;13269
10;if noteworthy;supposing hand um;2023-11-25;19241
