id;descricao;observacao;parcela;total_parcela;valor;data;data_vencimento
1;hm blank;enlightened;14923;32729;13625.99;2023-11-25;2023-11-25
2;hamster;within;15525;32188;16481.3;2023-11-25;2023-11-25
3;unless without circa;vineyard;14166;18080;9351.81;2023-11-25;2023-11-25
4;brooch;venom;17832;23465;24116.43;2023-11-24;2023-11-25
5;why;boo defoliate speedily;22664;22304;6736.84;2023-11-25;2023-11-25
6;ha;however enrol like;5053;3876;17908.93;2023-11-25;2023-11-25
7;machinery;daily hinder;24542;18689;551.5;2023-11-25;2023-11-25
8;kissingly;rend;9010;18661;14531.71;2023-11-24;2023-11-24
9;anti gleeful tremendously;hazel insignificant;10719;3103;16116.54;2023-11-25;2023-11-25
10;incidentally upbeat rhapsodize;strange wall sellotape;30791;29108;28089.59;2023-11-25;2023-11-25
