id;descricao;observacao;data;numero;qtde;valor
1;dreary;sightsee after hassle;2023-11-25;14369;7300;18053.36
2;joyful out;apartment;2023-11-25;15769;12740;5751.06
3;supposing ah prepare;expert since um;2023-11-24;28311;10163;28563.97
4;meh longingly instead;bland;2023-11-25;3520;2971;22295.88
5;reshuffle hiccups phew;remote obediently;2023-11-25;28283;9514;8296.37
6;brr unwritten along;um;2023-11-25;14697;12064;11881.07
7;attain;commonly vice triangle;2023-11-25;4360;21440;13068.67
8;colorful galvanise never;devolve whose;2023-11-25;30742;27902;17274.75
9;this which;afore;2023-11-25;31605;19328;24059.75
10;galoshes brown stalk;well caviar;2023-11-25;32445;26082;6802.34
